SA2 - Residence,SA2 - Place of Work,Count
Goulburn,Goulburn,6873
Goulburn Region,Goulburn,1520
Yass,Goulburn,12
Yass Region,Goulburn,45
Young,Goulburn,3
Young Region,Goulburn,4
Braidwood,Goulburn,37
Karabar,Goulburn,3
Queanbeyan Region,Goulburn,34
Queanbeyan West - Jerrabomberra,Goulburn,8
Cooma Region,Goulburn,3
Batemans Bay,Goulburn,7
Bathurst - East,Goulburn,3
Albion Park - Macquarie Pass,Goulburn,3
Kiama,Goulburn,3
Kiama Hinterland - Gerringong,Goulburn,3
Shellharbour - Flinders,Goulburn,6
Balgownie - Fairy Meadow,Goulburn,6
Wollongong,Goulburn,3
Mount Hutton - Windale,Goulburn,3
Morisset - Cooranbong,Goulburn,4
Berry - Kangaroo Valley,Goulburn,3
Huskisson - Vincentia,Goulburn,4
Nowra,Goulburn,4
St Georges Basin - Erowal Bay,Goulburn,3
Bowral,Goulburn,37
Hill Top - Colo Vale,Goulburn,16
Mittagong,Goulburn,21
Moss Vale - Berrima,Goulburn,47
Robertson - Fitzroy Falls,Goulburn,3
Southern Highlands,Goulburn,58
West Pennant Hills,Goulburn,4
Darlinghurst,Goulburn,3
Maroubra,Goulburn,3
Ashfield,Goulburn,3
Camden - Ellis Lane,Goulburn,4
Elderslie - Harrington Park,Goulburn,7
Mount Annan - Currans Hill,Goulburn,3
Bradbury - Wedderburn,Goulburn,5
Claymore - Eagle Vale - Raby,Goulburn,3
Rosemeadow - Glen Alpine,Goulburn,5
Picton - Tahmoor - Buxton,Goulburn,8
Blaxland - Warrimoo - Lapstone,Goulburn,3
Castlereagh - Cranebrook,Goulburn,3
St Clair,Goulburn,3
Eastwood - Denistone,Goulburn,3
Holsworthy - Wattle Grove,Goulburn,3
Prestons - Lurnea,Goulburn,3
Miranda - Yowie Bay,Goulburn,3
No Usual Address (NSW),Goulburn,10
Goulburn,Goulburn Region,373
Goulburn Region,Goulburn Region,2411
Yass,Goulburn Region,3
Yass Region,Goulburn Region,8
Young Region,Goulburn Region,3
Braidwood,Goulburn Region,6
Queanbeyan Region,Goulburn Region,3
Bega-Eden Hinterland,Goulburn Region,3
Oberon,Goulburn Region,4
Orange,Goulburn Region,3
Figtree - Keiraville,Goulburn Region,3
Thirroul - Austinmer - Coalcliff,Goulburn Region,4
Wollongong,Goulburn Region,4
Ulladulla,Goulburn Region,3
Bowral,Goulburn Region,7
Hill Top - Colo Vale,Goulburn Region,4
Mittagong,Goulburn Region,8
Moss Vale - Berrima,Goulburn Region,11
Robertson - Fitzroy Falls,Goulburn Region,7
Southern Highlands,Goulburn Region,22
Darlinghurst,Goulburn Region,3
Newtown - Camperdown - Darlington,Goulburn Region,3
Strathfield,Goulburn Region,3
Cremorne - Cammeray,Goulburn Region,6
Ingleburn - Denham Court,Goulburn Region,4
Picton - Tahmoor - Buxton,Goulburn Region,3
Green Valley - Cecil Hills,Goulburn Region,3
Holsworthy - Wattle Grove,Goulburn Region,3
Sylvania - Taren Point,Goulburn Region,5
Goulburn,Yass,7
Goulburn Region,Yass,3
Yass,Yass,1387
Yass Region,Yass,415
Young,Yass,3
Young Region,Yass,27
Queanbeyan Region,Yass,3
Narooma - Bermagui,Yass,3
Goulburn,Yass Region,11
Goulburn Region,Yass Region,26
Yass,Yass Region,77
Yass Region,Yass Region,1387
Young,Yass Region,3
Young Region,Yass Region,32
Karabar,Yass Region,3
Queanbeyan,Yass Region,3
Queanbeyan - East,Yass Region,5
Queanbeyan Region,Yass Region,28
Cowra Region,Yass Region,4
Tumut Region,Yass Region,3
Cootamundra,Yass Region,8
Gundagai,Yass Region,14
Randwick,Yass Region,3
No Usual Address (NSW),Yass Region,3
Goulburn,Young,3
Yass,Young,3
Yass Region,Young,5
Young,Young,3328
Young Region,Young,565
Cowra,Young,11
Cowra Region,Young,13
Forbes,Young,3
Grenfell,Young,69
West Wyalong,Young,3
Orange - North,Young,3
Kiama Hinterland - Gerringong,Young,3
