SA2 - Residence,SA2 - Work place,Count
Braidwood,Braidwood,931
Queanbeyan Region,Braidwood,19
Queanbeyan West - Jerrabomberra,Braidwood,5
Batemans Bay,Braidwood,3
Batemans Bay - South,Braidwood,9
Eurobodalla Hinterland,Braidwood,8
Goulburn,Braidwood,13
Scone Region,Braidwood,3
Thirroul - Austinmer - Coalcliff,Braidwood,3
Bulahdelah - Stroud,Braidwood,6
Ulladulla Region,Braidwood,9
Braidwood,Karabar,3
Karabar,Karabar,292
Queanbeyan,Karabar,86
Queanbeyan - East,Karabar,34
Queanbeyan Region,Karabar,74
Queanbeyan West - Jerrabomberra,Karabar,95
Cooma,Karabar,4
Goulburn,Karabar,15
Goulburn Region,Karabar,8
Yass,Karabar,6
Yass Region,Karabar,7
Ulladulla Region,Karabar,5
Braidwood,Queanbeyan,41
Karabar,Queanbeyan,632
Queanbeyan,Queanbeyan,1062
Queanbeyan - East,Queanbeyan,382
Queanbeyan Region,Queanbeyan,477
Queanbeyan West - Jerrabomberra,Queanbeyan,561
Bombala,Queanbeyan,3
Cooma,Queanbeyan,14
Cooma Region,Queanbeyan,10
Jindabyne - Berridale,Queanbeyan,7
Batemans Bay,Queanbeyan,4
Batemans Bay - South,Queanbeyan,6
Bega - Tathra,Queanbeyan,3
Moruya - Tuross Head,Queanbeyan,4
Narooma - Bermagui,Queanbeyan,10
Goulburn,Queanbeyan,58
Goulburn Region,Queanbeyan,18
Yass,Queanbeyan,18
Yass Region,Queanbeyan,43
Kiama,Queanbeyan,3
Kiama Hinterland - Gerringong,Queanbeyan,3
Cootamundra,Queanbeyan,3
Junee,Queanbeyan,3
Nowra,Queanbeyan,3
Ulladulla,Queanbeyan,3
Ulladulla Region,Queanbeyan,3
Marrickville,Queanbeyan,3
Canterbury (South) - Campsie,Queanbeyan,3
Prestons - Edmondson Park,Queanbeyan,4
Braidwood,Queanbeyan - East,19
Karabar,Queanbeyan - East,257
Queanbeyan,Queanbeyan - East,334
Queanbeyan - East,Queanbeyan - East,295
Queanbeyan Region,Queanbeyan - East,304
Queanbeyan West - Jerrabomberra,Queanbeyan - East,278
Cooma,Queanbeyan - East,13
Cooma Region,Queanbeyan - East,5
Batemans Bay - South,Queanbeyan - East,3
Goulburn,Queanbeyan - East,23
Goulburn Region,Queanbeyan - East,13
Yass,Queanbeyan - East,10
Yass Region,Queanbeyan - East,42
St Clair,Queanbeyan - East,3
No Usual Address (NSW),Queanbeyan - East,4
Braidwood,Queanbeyan Region,73
Karabar,Queanbeyan Region,50
Queanbeyan,Queanbeyan Region,66
Queanbeyan - East,Queanbeyan Region,44
Queanbeyan Region,Queanbeyan Region,1534
Queanbeyan West - Jerrabomberra,Queanbeyan Region,136
Cooma,Queanbeyan Region,6
Cooma Region,Queanbeyan Region,15
Jindabyne - Berridale,Queanbeyan Region,3
Merimbula - Tura Beach,Queanbeyan Region,4
Narooma - Bermagui,Queanbeyan Region,5
Goulburn,Queanbeyan Region,64
Goulburn Region,Queanbeyan Region,38
Yass,Queanbeyan Region,4
Yass Region,Queanbeyan Region,34
Coonabarabran,Queanbeyan Region,14
Maitland - West,Queanbeyan Region,4
Nowra,Queanbeyan Region,5
Ulladulla,Queanbeyan Region,5
No Usual Address (NSW),Queanbeyan Region,3
Braidwood,Queanbeyan West - Jerrabomberra,9
Karabar,Queanbeyan West - Jerrabomberra,148
Queanbeyan,Queanbeyan West - Jerrabomberra,166
Queanbeyan - East,Queanbeyan West - Jerrabomberra,68
Queanbeyan Region,Queanbeyan West - Jerrabomberra,171
Queanbeyan West - Jerrabomberra,Queanbeyan West - Jerrabomberra,613
Cooma,Queanbeyan West - Jerrabomberra,7
Jindabyne - Berridale,Queanbeyan West - Jerrabomberra,3
Batemans Bay,Queanbeyan West - Jerrabomberra,3
Goulburn,Queanbeyan West - Jerrabomberra,14
Goulburn Region,Queanbeyan West - Jerrabomberra,7
Yass,Queanbeyan West - Jerrabomberra,5
Yass Region,Queanbeyan West - Jerrabomberra,14
Albury - North,Queanbeyan West - Jerrabomberra,4
Bombala,Bombala,879
Cooma,Bombala,9
Cooma Region,Bombala,17
Jindabyne - Berridale,Bombala,10
Bega - Tathra,Bombala,3
Bega-Eden Hinterland,Bombala,19
Merimbula - Tura Beach,Bombala,21
Yass Region,Bombala,4
Casino Region,Bombala,8
Queanbeyan Region,Cooma,8
Queanbeyan West - Jerrabomberra,Cooma,4
Bombala,Cooma,25
Cooma,Cooma,2338
Cooma Region,Cooma,614
Jindabyne - Berridale,Cooma,321
Bega - Tathra,Cooma,6
Bega-Eden Hinterland,Cooma,11
Merimbula - Tura Beach,Cooma,6
Albury Region,Cooma,3
Tumbarumba,Cooma,5
No Usual Address (NSW),Cooma,3
Bombala,Cooma Region,18
Cooma,Cooma Region,57
Cooma Region,Cooma Region,524
Jindabyne - Berridale,Cooma Region,19
Moruya - Tuross Head,Cooma Region,4
Gorokan - Kanwal - Charmhaven,Cooma Region,4
Glenwood,Cooma Region,3
Karabar,Jindabyne - Berridale,3
Queanbeyan,Jindabyne - Berridale,3
Queanbeyan Region,Jindabyne - Berridale,3
Bombala,Jindabyne - Berridale,3
Cooma,Jindabyne - Berridale,86
Cooma Region,Jindabyne - Berridale,44
Jindabyne - Berridale,Jindabyne - Berridale,3029
Batemans Bay,Jindabyne - Berridale,3
Batemans Bay - South,Jindabyne - Berridale,16
Bega - Tathra,Jindabyne - Berridale,24
Bega-Eden Hinterland,Jindabyne - Berridale,13
Broulee - Tomakin,Jindabyne - Berridale,6
Eden,Jindabyne - Berridale,3
Eurobodalla Hinterland,Jindabyne - Berridale,4
Merimbula - Tura Beach,Jindabyne - Berridale,25
Moruya - Tuross Head,Jindabyne - Berridale,4
Narooma - Bermagui,Jindabyne - Berridale,8
Avoca Beach - Copacabana,Jindabyne - Berridale,4
Erina - Green Point,Jindabyne - Berridale,11
Gosford - Springfield,Jindabyne - Berridale,8
Kariong,Jindabyne - Berridale,3
Terrigal - North Avoca,Jindabyne - Berridale,3
Umina - Booker Bay - Patonga,Jindabyne - Berridale,6
Wamberal - Forresters Beach,Jindabyne - Berridale,6
Bateau Bay - Killarney Vale,Jindabyne - Berridale,4
Budgewoi - Buff Point - Halekulani,Jindabyne - Berridale,4
Chittaway Bay - Tumbi Umbi,Jindabyne - Berridale,5
Gorokan - Kanwal - Charmhaven,Jindabyne - Berridale,4
Lake Munmorah - Mannering Park,Jindabyne - Berridale,3
Summerland Point - Gwandalan,Jindabyne - Berridale,3
Warnervale - Wadalba,Jindabyne - Berridale,3
