SA2 - Residence,Method of Travel to Work,Count
Queanbeyan,Train,3
Queanbeyan Region,Train,4
Queanbeyan West - Jerrabomberra,Train,3
Cooma,Train,3
Jindabyne - Berridale,Train,22
Batemans Bay - South,Train,3
Merimbula - Tura Beach,Train,4
Narooma - Bermagui,Train,3
Goulburn,Train,16
Goulburn Region,Train,5
Young,Train,4
Young Region,Train,3
Avoca Beach - Copacabana,Train,75
Box Head - MacMasters Beach,Train,243
Calga - Kulnura,Train,30
Erina - Green Point,Train,178
Gosford - Springfield,Train,666
Kariong,Train,69
Kincumber - Picketts Valley,Train,72
Narara,Train,243
Niagara Park - Lisarow,Train,258
Point Clare - Koolewong,Train,392
Saratoga - Davistown,Train,56
Terrigal - North Avoca,Train,184
Umina - Booker Bay - Patonga,Train,700
Wamberal - Forresters Beach,Train,75
Woy Woy - Blackwall,Train,654
Wyoming,Train,259
Bateau Bay - Killarney Vale,Train,105
Blue Haven - San Remo,Train,56
Budgewoi - Buff Point - Halekulani,Train,28
Chittaway Bay - Tumbi Umbi,Train,150
Gorokan - Kanwal - Charmhaven,Train,127
Jilliby - Yarramalong,Train,27
Lake Munmorah - Mannering Park,Train,29
Ourimbah - Fountaindale,Train,102
Summerland Point - Gwandalan,Train,9
The Entrance,Train,63
Toukley - Norah Head,Train,33
Tuggerah - Kangy Angy,Train,123
Warnervale - Wadalba,Train,177
Wyong,Train,163
Bathurst,Train,15
Bathurst - East,Train,4
Bathurst Region,Train,4
Cowra,Train,3
Lithgow,Train,42
Lithgow Region,Train,18
Mudgee,Train,3
Mudgee Region - West,Train,10
Blayney,Train,7
Orange,Train,12
Orange - North,Train,5
Orange Region,Train,3
Grafton,Train,4
Maclean - Yamba - Iluka,Train,6
Coramba - Nana Glen - Bucca,Train,3
Korora - Emerald Beach,Train,4
Sawtell - Boambee,Train,4
Broken Hill,Train,3
Dubbo - South,Train,4
Wellington,Train,3
Branxton - Greta - Pokolbin,Train,4
Cessnock,Train,4
Cessnock Region,Train,12
Dungog,Train,7
Kurri Kurri - Abermain,Train,10
Singleton,Train,3
Singleton Region,Train,3
Maitland,Train,19
Maitland - East,Train,84
Maitland - North,Train,14
Maitland - West,Train,34
Thornton - Millers Forest,Train,32
Lemon Tree Passage - Tanilba Bay,Train,6
Nelson Bay Peninsula,Train,8
Raymond Terrace,Train,9
Seaham - Woodville,Train,6
Williamtown - Medowie - Karuah,Train,4
Muswellbrook,Train,9
Scone,Train,6
Scone Region,Train,5
Dapto - Avondale,Train,189
Horsley - Kembla Grange,Train,77
Unanderra - Mount Kembla,Train,136
Berkeley - Lake Heights - Cringila,Train,71
Port Kembla - Warrawong,Train,48
Windang - Primbee,Train,16
Albion Park - Macquarie Pass,Train,59
Albion Park Rail,Train,58
Kiama,Train,54
Kiama Downs - Minnamurra,Train,41
Kiama Hinterland - Gerringong,Train,23
Shellharbour - Flinders,Train,116
Shellharbour - Oak Flats,Train,46
Warilla,Train,72
Balgownie - Fairy Meadow,Train,228
Corrimal - Tarrawanna - Bellambi,Train,211
Figtree - Keiraville,Train,202
Helensburgh,Train,434
Thirroul - Austinmer - Coalcliff,Train,469
Woonona - Bulli - Russell Vale,Train,369
Wollongong - East,Train,239
Wollongong - West,Train,304
Bulahdelah - Stroud,Train,5
Forster,Train,8
Macksville - Scotts Head,Train,6
Nambucca Heads,Train,7
Port Macquarie - East,Train,7
Gloucester,Train,3
Old Bar - Manning Point - Red Head,Train,5
Taree,Train,6
Taree Region,Train,8
Albury - North,Train,4
Albury - South,Train,6
Albury Region,Train,5
Lavington,Train,5
Corowa Region,Train,4
Moama,Train,3
Tocumwal - Finley - Jerilderie,Train,4
Armidale,Train,3
Armidale Region - South,Train,3
Tamworth - East,Train,6
Tamworth - North,Train,3
Belmont - Bennetts Green,Train,6
Charlestown - Dudley,Train,30
Glendale - Cardiff - Hillsborough,Train,58
Mount Hutton - Windale,Train,10
Redhead,Train,3
