"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","CBD_DEPENDENCY_RATE","PT_SHARE","WFH_SHARE","MIXED_SHARE","TOTAL_COMMUTERS","HAS_BASELINE_2016","CBD_GROWTH_RATE_16_21","BUS_CANDIDATE_SCORE"
2021,108041164,"Port Macquarie - West",50,0.006368615462998344159979620430518405298688,0.005772586924419385152369445563162840649752,0.1169284467713787085514834205933682373473,0.000939723452812458048060142300979997315076,7449,1,5.25,1.33964872414345647125571993487172457232
2021,112011240,"Byron Bay",96,0.0196439533456108041743400859422958870473,0.002170138888888888888888888888888888888889,0.3055555555555555555555555555555555555556,0,4608,1,4.33333333333333333333333333333333333333,1.14028914194491152213948274481543758507
2021,112031250,"Kingscliff - Fingal Head",79,0.0173055859802847754654983570646221248631,0.006535947712418300653594771241830065359477,0.2359821121431028551771585827313381492948,0.004127966976264189886480908152734778121775,5814,1,4.26666666666666666666666666666666666667,1.13263606917327702454527373149258860697
2021,112011242,"Lennox Head - Skennars Head",57,0.0133552014995313964386129334582942830366,0.005160973212091422954042762349471614647333,0.2376505283853526665028262472351929220939,0,4069,1,3.75,1.02794116231967099836256003587408578433
2021,104021089,"Sawtell - Boambee",63,0.007704537116301822184175125351595939831234,0.002984687256683104074746950428237736828445,0.118608876200363353231248377887360498313,0.001167921100441214637944458863223462237218,7706,1,2.70588235294117647058823529411764705882,0.8318621010907546458474028281205990759961
2021,111031229,"Newcastle - Cooks Hill",138,0.0190502484815019326339039204859193815572,0.0230218021039792651318798597347156578747,0.3502058240585455099862783960969660009148,0.004268943436499466382070437566702241195304,6559,1,2.63157894736842105263157894736842105263,0.7937475752448273995483588006792395648575
2021,111031235,"Wickham - Carrington - Tighes Hill",84,0.0165061898211829436038514442916093535076,0.0214517876489707475622968580715059588299,0.3284940411700975081256771397616468039003,0.001950162513542795232936078006500541711809,4615,1,2.5,0.767090805889681294403647257257025402289
2021,127011505,"Austral - Greendale",452,0.0911841839822473270123058301391970950171,0.0260170293282876064333017975402081362346,0.3770104068117313150425733207190160832545,0.00851466414380321665089877010406811731315,4228,1,2.22857142857142857142857142857142857143,0.7253764148780160221221732835396568090614
2021,112011237,"Ballina Surrounds",51,0.006407840180927252167357708254805880135695,0.003218452460775110634303339144428054177283,0.210808636180769746546868713960037548612,0.002682043717312592195252782620356711814403,7457,1,2.1875,0.7184938063989001752412446138870141892224
2021,103041077,"Orange",56,0.007158379138437939409433721078869998721718,0.005980698654342802772869376104390376512165,0.1086040505640886230800598069865434280277,0.00067962484708440940600788364822617914911,7357,1,2.11111111111111111111111111111111111111,0.7129240074430738504371636446987399022143
2021,111011209,"Glendale - Cardiff - Hillsborough",117,0.0101500824151990977704519823024204042682,0.0105561528687322842341902062359495650474,0.2471899130094809891506206626918189815267,0.002443553904799139869025510702766103020233,10231,1,2,0.6790350799486462758324970387977193559498
