"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","TOTAL_COMMUTERS_OD","CBD_DEPENDENCY_RATE"
2011,103011059,"Bathurst - East",0,3405,0
2016,107031139,"Kiama Downs - Minnamurra",59,2534,0.0232833464877663772691397000789265982636
2016,107031141,"Shellharbour - Flinders",160,7513,0.0212964195394649274590709436975908425396
2016,112011236,"Ballina",13,5869,0.002215028113818367694666893849037314704379
2016,113021261,"Tumut",8,2336,0.003424657534246575342465753424657534246575
2016,118021569,"Randwick - North",3758,9204,0.4083007388092133854845719252498913515863
2021,101041026,"Moruya - Tuross Head",15,2936,0.005108991825613079019073569482288828337875
2021,109011176,"Lavington",7,4823,0.001451378809869375907111756168359941944848
2021,119021573,"Lakemba",817,4444,0.1838433843384338433843384338433843384338
2021,119041668,"Arncliffe - Bardwell Valley",2323,7154,0.3247134470226446743080793961420184512161
2011,102021045,"Blue Haven - San Remo",0,2554,0
2016,121021404,"Berowra - Brooklyn - Cowan",848,5721,0.1482258346442929557769620695682572976752
2016,119011356,"Condell Park",477,3998,0.1193096548274137068534267133566783391696
2016,115011294,"Glenhaven",299,2849,0.1049491049491049491049491049491049491049
2016,116011306,"Doonside - Woodcroft",1281,9866,0.1298398540441921751469693898236367322116
2016,116011561,"Blacktown (West)",715,6930,0.1031746031746031746031746031746031746032
2016,104021087,"Dorrigo",0,1070,0
2021,102011034,"Kincumber - Picketts Valley",116,2837,0.0408882622488544236869933027846316531547
2021,102011039,"Terrigal - North Avoca",394,6706,0.0587533552042946614971667163733969579481
2021,102021049,"Jilliby - Yarramalong",52,1557,0.0333975594091201027617212588310854206808
2021,114011283,"Ulladulla Surrounds",25,1879,0.013304949441192123469930814262905800958
2021,113031268,"Wagga Wagga - North",10,2744,0.003644314868804664723032069970845481049563
2021,116021629,"Marsden Park - Shanes Park",1087,7343,0.1480321394525398338553724635707476508239
2021,119031373,"Riverwood",939,3953,0.2375411080192259043764229698962813053377
2021,127011726,"Cobbitty - Bringelly",137,2189,0.062585655550479671082686158063042485153
2011,102011039,"Terrigal - North Avoca",0,4255,0
2016,199999499,"No usual address (NSW)",437,2417,0.1808026479106330161357054199420769549028
2016,127011596,"Hoxton Park - Carnes Hill - Horningsea Park",481,5063,0.0950029626703535453288564092435315030614
2016,117031332,"Newtown - Camperdown - Darlington",9068,14018,0.6468825795405906691396775574261663575403
2016,106011112,"Singleton",20,7220,0.002770083102493074792243767313019390581717
2016,105011094,"Coonamble",6,1470,0.00408163265306122448979591836734693877551
2016,109021178,"Wentworth - Buronga",3,1125,0.002666666666666666666666666666666666666667
2016,120031394,"Dulwich Hill - Lewisham",3794,8853,0.4285552919914153394329605783350276742347
2016,124041468,"Yarramundi - Londonderry",101,2920,0.0345890410958904109589041095890410958904
2021,103041077,"Orange",56,7823,0.007158379138437939409433721078869998721718
2021,107041146,"Figtree - Keiraville",458,10027,0.045676672982946045676672982946045676673
2021,111031228,"Merewether - The Junction",106,7479,0.0141730177831260863751838481080358336676
2021,124031460,"Glenmore Park - Regentville",661,10863,0.0608487526465985455214949829697137070791
2011,101011005,"Young",0,3527,0
2016,121041414,"Crows Nest - Waverton",4245,10806,0.3928373126041088284286507495835646862854
2016,108021157,"Macksville - Scotts Head",7,1463,0.004784688995215311004784688995215311004785
2016,106011113,"Singleton Region",3,2049,0.001464128843338213762811127379209370424597
2016,110031196,"Moree Region",0,2229,0
2021,102021047,"Chittaway Bay - Tumbi Umbi",219,7078,0.0309409437694263916360553828765187906188
2021,112021245,"Casino Surrounds",0,2754,0
2021,113031267,"Wagga Wagga - East",20,7797,0.002565089136847505450814415800949082980634
2021,116021632,"Schofields - East",2350,12316,0.1908087041247158168236440402728158493017
2021,121031409,"Pymble",2077,8094,0.2566098344452680998270323696565357054608
2021,121021403,"Asquith - Mount Colah",1872,10960,0.1708029197080291970802919708029197080292
2021,127021510,"Bossley Park - Abbotsbury",504,6578,0.076619033140772271207053815749467923381
2021,127011592,"Badgerys Creek",0,4,0
2016,128011604,"Cronulla - Kurnell - Bundeena",2227,12122,0.1837155584886982346147500412473189242699
2016,102021053,"The Entrance",125,5210,0.0239923224568138195777351247600767754319
2016,108041166,"Wauchope",0,3930,0
2016,110041200,"Gunnedah Region",0,1815,0
2021,102011043,"Wyoming",301,4473,0.0672926447574334898278560250391236306729
