"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","TOTAL_COMMUTERS_OD","INTERNAL_COMMUTERS","OUTFLOW_COMMUTERS","SELF_CONTAINMENT_RATE"
2011,101011005,"Young",3527,3328,199,0.9435781117096682733201020697476609016161
2011,101021008,"Karabar",1293,282,1011,0.2180974477958236658932714617169373549884
2011,103011059,"Bathurst - East",3405,1174,2231,0.3447870778267254038179148311306901615272
2011,102011039,"Terrigal - North Avoca",4255,1006,3249,0.2364277320799059929494712103407755581669
2011,102011030,"Calga - Kulnura",1352,915,437,0.6767751479289940828402366863905325443787
2011,102021045,"Blue Haven - San Remo",2554,347,2207,0.1358653093187157400156617071260767423649
2016,101031016,"Jindabyne - Berridale",3502,3029,473,0.8649343232438606510565391205025699600228
2016,199999499,"No usual address (NSW)",2417,0,2417,0
2016,102011040,"Umina - Booker Bay - Patonga",8412,1982,6430,0.2356157869709938183547313361864003804089
2016,107031139,"Kiama Downs - Minnamurra",2534,355,2179,0.1400947119179163378058405682715074980268
2016,107031141,"Shellharbour - Flinders",7513,1079,6434,0.1436177292692666045521096765606282443764
2016,112011236,"Ballina",5869,3855,2014,0.6568410291361390356108365990799113988754
2016,121041414,"Crows Nest - Waverton",10806,1255,9551,0.1161391819359615028687766055894873218582
2016,128011604,"Cronulla - Kurnell - Bundeena",12122,2359,9763,0.1946048506847054941428807127536710113843
2016,102021053,"The Entrance",5210,1144,4066,0.2195777351247600767754318618042226487524
2016,113021261,"Tumut",2336,2012,324,0.8613013698630136986301369863013698630137
2016,127011596,"Hoxton Park - Carnes Hill - Horningsea Park",5063,485,4578,0.095793008097965633023898874185265652775
2016,123011433,"Camden - Ellis Lane",5912,1247,4665,0.2109269282814614343707713125845737483085
2016,117031332,"Newtown - Camperdown - Darlington",14018,2469,11549,0.176130689113996290483663860750463689542
2016,118021569,"Randwick - North",9204,928,8276,0.1008257279443720121686223381138635375924
2016,119041381,"Rockdale - Banksia",9637,882,8755,0.0915222579640967105945833765694718273322
2016,113031266,"Temora",2560,2226,334,0.86953125
2016,106011112,"Singleton",7220,4057,3163,0.5619113573407202216066481994459833795014
2016,115011555,"Castle Hill - North",5616,965,4651,0.1718304843304843304843304843304843304843
2016,121021404,"Berowra - Brooklyn - Cowan",5721,991,4730,0.1732214647788848103478412864883761580143
