"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","WFH_COMMUTERS","TOTAL_COMMUTERS","WFH_RATE"
2011,101011005,"Young",172,3640,0.0472527472527472527472527472527472527473
2011,101021008,"Karabar",81,4086,0.0198237885462555066079295154185022026432
2011,101041019,"Bega - Tathra",173,2976,0.0581317204301075268817204301075268817204
2011,101041021,"Broulee - Tomakin",65,895,0.0726256983240223463687150837988826815642
2011,102011029,"Box Head - MacMasters Beach",380,3835,0.0990873533246414602346805736636245110821
2011,102011030,"Calga - Kulnura",364,1912,0.1903765690376569037656903765690376569038
2011,102011035,"Narara",122,2754,0.0442992011619462599854756717501815541031
2011,102011037,"Point Clare - Koolewong",137,2246,0.060997328584149599287622439893143365984
2011,102011039,"Terrigal - North Avoca",393,5307,0.0740531373657433578292820802713397399661
2011,102021045,"Blue Haven - San Remo",105,3638,0.0288620120945574491478834524463991203958
2011,103011059,"Bathurst - East",121,3798,0.0318588730911005792522380200105318588731
2016,101031016,"Jindabyne - Berridale",328,3391,0.0967266293128870539663815983485697434385
2016,101041018,"Batemans Bay - South",144,2469,0.0583232077764277035236938031591737545565
2016,101041021,"Broulee - Tomakin",72,1082,0.0665434380776340110905730129390018484288
2016,102011040,"Umina - Booker Bay - Patonga",496,8061,0.0615308274407641731795062647314229003846
2016,102021046,"Budgewoi - Buff Point - Halekulani",111,3106,0.0357372826786864133934320669671603348358
2016,102021053,"The Entrance",278,5121,0.0542862722124585041983987502440929505956
2016,103021064,"Cowra Region",352,2011,0.1750372948781700646444554947787170561909
2016,103031072,"Mudgee",169,4395,0.038452787258248009101251422070534698521
2016,104021087,"Dorrigo",194,1027,0.1888997078870496592015579357351509250243
2016,104021088,"Korora - Emerald Beach",296,3593,0.0823824102421374895630392429724464236014
2016,105011094,"Coonamble",243,1388,0.1750720461095100864553314121037463976945
2016,105011095,"Nyngan - Warren",238,1884,0.126326963906581740976645435244161358811
2016,105021098,"Far West",222,843,0.263345195729537366548042704626334519573
2016,105031104,"Gilgandra",279,1640,0.1701219512195121951219512195121951219512
2016,106011112,"Singleton",184,6683,0.0275325452641029477779440371090827472692
2016,106011113,"Singleton Region",228,1865,0.1222520107238605898123324396782841823056
2016,106021116,"Maitland - North",198,3289,0.0602006688963210702341137123745819397993
2016,106031120,"Lemon Tree Passage - Tanilba Bay",89,1926,0.0462097611630321910695742471443406022845
2016,106031125,"Williamtown - Medowie - Karuah",260,5221,0.0497988891017046542807891208580731660601
2016,107011546,"Port Kembla - Warrawong",59,2678,0.022031366691560866318147871545929798357
2016,107031139,"Kiama Downs - Minnamurra",139,2373,0.0585756426464391066160977665402444163506
2016,107031141,"Shellharbour - Flinders",295,7141,0.0413107407926060775801708444195490827615
2016,107041147,"Helensburgh",225,4146,0.0542691751085383502170767004341534008683
2016,107041150,"Woonona - Bulli - Russell Vale",396,7991,0.0495557502189963709172819421849580778376
2016,108021157,"Macksville - Scotts Head",88,1369,0.0642804967129291453615777940102264426589
2016,108041166,"Wauchope",213,3715,0.0573351278600269179004037685060565275908
2016,109021178,"Wentworth - Buronga",163,2102,0.0775451950523311132254995242626070409134
2016,109031185,"Tocumwal - Finley - Jerilderie",398,3371,0.1180658558291308217146247404331059032928
2016,110011189,"Walcha",314,1323,0.2373393801965230536659108087679516250945
2016,110031196,"Moree Region",413,2265,0.1823399558498896247240618101545253863135
2016,110041200,"Gunnedah Region",344,1762,0.1952326901248581157775255391600454029512
2016,110041204,"Tamworth - West",47,1716,0.0273892773892773892773892773892773892774
2016,111011206,"Belmont - Bennetts Green",283,6635,0.0426525998492840994724943481537302185381
2016,111031223,"Beresfield - Hexham",71,2775,0.0255855855855855855855855855855855855856
2016,112011236,"Ballina",312,5628,0.0554371002132196162046908315565031982942
2016,113021261,"Tumut",73,2203,0.033136631865637766681797548797094870631
2016,113031266,"Temora",306,2414,0.1267605633802816901408450704225352112676
2016,115011294,"Glenhaven",220,2698,0.0815418828762045959970348406226834692365
2016,126021497,"Eastwood - Denistone",497,10604,0.046869105997736703130894002263296869106
2016,127011596,"Hoxton Park - Carnes Hill - Horningsea Park",112,4962,0.0225715437323659814590890769850866586054
2016,127021510,"Bossley Park - Abbotsbury",220,7452,0.0295222758990874932903918411164787976382
2016,128011529,"Gymea - Grays Point",441,8251,0.053448066900981699187977214883044479457
2016,128011604,"Cronulla - Kurnell - Bundeena",610,11678,0.0522349717417365987326597020037677684535
2016,199999499,"No usual address (NSW)",110,2912,0.0377747252747252747252747252747252747253
2016,115011555,"Castle Hill - North",426,5426,0.0785108735716918540361223737559896793218
2016,115011557,"Castle Hill - West",167,2511,0.0665073675826363998407009159697331740342
2016,116011306,"Doonside - Woodcroft",204,9477,0.0215257993035770813548591326369104146882
2016,116011561,"Blacktown (West)",158,6657,0.0237344149016073306294126483400931350458
2016,117031332,"Newtown - Camperdown - Darlington",626,13087,0.0478337281271490792389394055169251929396
2016,118011346,"Rose Bay - Vaucluse - Watsons Bay",539,4940,0.1091093117408906882591093117408906882591
2016,118021564,"Kensington (NSW)",254,5765,0.044058976582827406764960971379011274935
2016,118021569,"Randwick - North",469,8838,0.0530663045937995021498076487893188504186
2016,119011356,"Condell Park",118,3972,0.0297079556898288016112789526686807653575
2016,119011358,"Padstow",242,6908,0.0350318471337579617834394904458598726115
2016,119011572,"Bankstown - South",121,5181,0.0233545647558386411889596602972399150743
2016,119021363,"Canterbury (South) - Campsie",269,12672,0.021227904040404040404040404040404040404
2016,119021364,"Kingsgrove (North) - Earlwood",403,9738,0.041384267816800164304785376874101458205
2016,119021574,"Wiley Park",64,3342,0.0191502094554159186116098144823459006583
2016,119041377,"Kingsgrove (South) - Bardwell Park",218,5246,0.041555470834921845215402211208539839878
2016,119041381,"Rockdale - Banksia",177,9269,0.0190959111015211996979177904844104002589
2016,120011383,"Concord - Mortlake - Cabarita",548,9899,0.055359127184564097383574098393777149207
2016,120011384,"Concord West - North Strathfield",412,11555,0.0356555603634790134141064474253569883167
